MH [GeV],13.0 TeV / 8 TeV gg,13.0 TeV / 8 TeV qq+qqbar,13.0 TeV / 8 TeV qqbar,13.0 TeV / 8 TeV qg,13.5 TeV / 8 TeV gg,13.5 TeV / 8 TeV qq+qqbar,13.5 TeV / 8 TeV qqbar,13.5 TeV / 8 TeV qg,14.0 TeV / 8 TeV gg,14.0 TeV / 8 TeV qq+qqbar,14.0 TeV / 8 TeV qqbar,14.0 TeV / 8 TeV qg,,Mass,ggF 8TeV Cross section [pb],ggF 13TeV cross section [pb]
175.0,2.497,1.906,1.863,2.133,2.670,2.000,1.951,2.256,2.847,2.095,2.040,2.380,,175.0,9.526,23.7897
176.0,2.501,1.908,1.864,2.135,2.675,2.002,1.953,2.259,2.851,2.097,2.042,2.383,,176.0,9.410,23.5362
178.0,2.509,1.910,1.867,2.140,2.683,2.005,1.956,2.264,2.861,2.101,2.046,2.389,,178.0,9.194,23.0659
180.0,2.517,1.913,1.870,2.145,2.692,2.009,1.959,2.269,2.871,2.104,2.049,2.395,,180.0,8.980,22.5974
182.0,2.524,1.916,1.873,2.149,2.701,2.012,1.963,2.274,2.881,2.108,2.053,2.401,,182.0,8.755,22.0986
184.0,2.532,1.919,1.876,2.154,2.710,2.015,1.966,2.280,2.891,2.111,2.056,2.407,,184.0,8.501,21.5238
185.0,2.536,1.920,1.877,2.156,2.714,2.017,1.967,2.282,2.896,2.113,2.058,2.410,,185.0,8.383,21.2549
186.0,2.539,1.922,1.878,2.159,2.718,2.018,1.969,2.285,2.901,2.115,2.060,2.413,,186.0,8.266,20.9897
188.0,2.547,1.925,1.881,2.163,2.727,2.021,1.972,2.290,2.911,2.118,2.063,2.419,,188.0,8.053,20.5100
190.0,2.555,1.927,1.884,2.168,2.736,2.024,1.975,2.295,2.921,2.122,2.067,2.424,,190.0,7.858,20.0748
192.0,2.562,1.930,1.887,2.172,2.744,2.028,1.978,2.300,2.930,2.125,2.070,2.430,,192.0,7.671,19.6548
194.0,2.570,1.933,1.890,2.177,2.753,2.031,1.981,2.306,2.940,2.129,2.074,2.436,,194.0,7.494,19.2578
195.0,2.573,1.934,1.891,2.179,2.757,2.032,1.983,2.308,2.945,2.131,2.075,2.439,,195.0,7.405,19.0575
196.0,2.577,1.936,1.892,2.181,2.761,2.034,1.985,2.311,2.950,2.132,2.077,2.442,,196.0,7.320,18.8650
198.0,2.585,1.938,1.895,2.186,2.770,2.037,1.988,2.316,2.960,2.136,2.081,2.447,,198.0,7.187,18.5757
200.0,2.592,1.941,1.898,2.190,2.779,2.040,1.991,2.321,2.969,2.139,2.084,2.453,,200.0,7.081,18.3555
202.0,2.600,1.944,1.901,2.195,2.787,2.043,1.994,2.326,2.979,2.142,2.087,2.459,,202.0,6.937,18.0331
204.0,2.607,1.947,1.903,2.199,2.796,2.046,1.997,2.331,2.989,2.146,2.091,2.464,,204.0,6.846,17.8487
206.0,2.615,1.949,1.906,2.204,2.804,2.049,2.000,2.336,2.998,2.149,2.094,2.470,,206.0,6.731,17.5982
208.0,2.622,1.952,1.909,2.208,2.813,2.052,2.003,2.341,3.008,2.152,2.098,2.476,,208.0,6.609,17.3300
210.0,2.629,1.954,1.911,2.213,2.821,2.055,2.006,2.346,3.018,2.156,2.101,2.481,,210.0,6.500,17.0903
212.0,2.637,1.957,1.914,2.217,2.830,2.058,2.009,2.351,3.027,2.159,2.104,2.487,,212.0,6.387,16.8414
214.0,2.644,1.960,1.917,2.222,2.838,2.061,2.012,2.356,3.037,2.162,2.108,2.493,,214.0,6.293,16.6395
216.0,2.652,1.962,1.919,2.226,2.847,2.064,2.015,2.361,3.047,2.166,2.111,2.498,,216.0,6.214,16.4779
218.0,2.659,1.965,1.922,2.230,2.855,2.067,2.018,2.366,3.056,2.169,2.114,2.504,,218.0,6.104,16.2310
220.0,2.666,1.967,1.925,2.235,2.864,2.069,2.021,2.371,3.066,2.172,2.118,2.509,,220.0,6.003,16.0069
222.0,2.674,1.970,1.927,2.239,2.872,2.072,2.024,2.376,3.075,2.175,2.121,2.515,,222.0,5.905,15.7891
224.0,2.681,1.973,1.930,2.243,2.881,2.075,2.027,2.381,3.085,2.179,2.124,2.520,,224.0,5.821,15.6066
226.0,2.688,1.975,1.933,2.248,2.889,2.078,2.030,2.386,3.094,2.182,2.127,2.526,,226.0,5.748,15.4531
228.0,2.696,1.978,1.935,2.252,2.897,2.081,2.033,2.391,3.104,2.185,2.131,2.531,,228.0,5.653,15.2394
230.0,2.703,1.980,1.938,2.256,2.906,2.084,2.036,2.396,3.113,2.188,2.134,2.537,,230.0,5.567,15.0489
232.0,2.710,1.983,1.941,2.261,2.914,2.086,2.039,2.400,3.123,2.191,2.137,2.542,,232.0,5.487,14.8730
234.0,2.718,1.985,1.943,2.265,2.923,2.089,2.042,2.405,3.133,2.194,2.141,2.548,,234.0,5.413,14.7101
236.0,2.725,1.988,1.946,2.269,2.931,2.092,2.045,2.410,3.142,2.197,2.144,2.553,,236.0,5.327,14.5160
238.0,2.732,1.990,1.949,2.274,2.939,2.095,2.048,2.415,3.152,2.200,2.147,2.559,,238.0,5.247,14.3357
240.0,2.740,1.992,1.951,2.278,2.948,2.098,2.050,2.420,3.161,2.204,2.150,2.564,,240.0,5.159,14.1326
242.0,2.747,1.995,1.954,2.282,2.956,2.100,2.053,2.425,3.171,2.207,2.154,2.570,,242.0,5.078,13.9481
244.0,2.754,1.997,1.956,2.286,2.964,2.103,2.056,2.430,3.180,2.210,2.157,2.575,,244.0,4.999,13.7666
246.0,2.761,2.000,1.959,2.291,2.973,2.106,2.059,2.434,3.189,2.213,2.160,2.580,,246.0,4.924,13.5971
248.0,2.769,2.002,1.962,2.295,2.981,2.109,2.062,2.439,3.199,2.216,2.163,2.586,,248.0,4.854,13.4393
250.0,2.776,2.005,1.964,2.299,2.989,2.111,2.065,2.444,3.208,2.219,2.167,2.591,,250.0,4.783,13.2763
252.0,2.783,2.007,1.967,2.303,2.998,2.114,2.068,2.449,3.218,2.222,2.170,2.597,,252.0,4.714,13.1208
254.0,2.790,2.009,1.969,2.307,3.006,2.117,2.071,2.454,3.227,2.225,2.173,2.602,,254.0,4.647,12.9668
256.0,2.798,2.012,1.972,2.312,3.014,2.119,2.074,2.458,3.237,2.228,2.176,2.607,,256.0,4.582,12.8197
258.0,2.805,2.014,1.974,2.316,3.023,2.122,2.077,2.463,3.246,2.231,2.179,2.613,,258.0,4.521,12.6817
260.0,2.812,2.016,1.977,2.320,3.031,2.125,2.079,2.468,3.256,2.234,2.183,2.618,,260.0,4.461,12.5445
262.0,2.819,2.019,1.980,2.324,3.039,2.127,2.082,2.473,3.265,2.237,2.186,2.623,,262.0,4.405,12.4179
264.0,2.826,2.021,1.982,2.328,3.047,2.130,2.085,2.477,3.275,2.240,2.189,2.629,,264.0,4.350,12.2939
266.0,2.834,2.023,1.985,2.333,3.056,2.132,2.088,2.482,3.284,2.243,2.192,2.634,,266.0,4.292,12.1609
268.0,2.841,2.026,1.987,2.337,3.064,2.135,2.091,2.487,3.293,2.246,2.195,2.639,,268.0,4.237,12.0361
270.0,2.848,2.028,1.990,2.341,3.072,2.138,2.094,2.492,3.303,2.248,2.199,2.645,,270.0,4.184,11.9165
272.0,2.855,2.030,1.992,2.345,3.081,2.140,2.097,2.496,3.312,2.251,2.202,2.650,,272.0,4.134,11.8038
274.0,2.862,2.033,1.995,2.349,3.089,2.143,2.100,2.501,3.322,2.254,2.205,2.655,,274.0,4.086,11.6961
276.0,2.870,2.035,1.998,2.353,3.097,2.145,2.102,2.506,3.331,2.257,2.208,2.661,,276.0,4.040,11.5920
278.0,2.877,2.037,2.000,2.358,3.105,2.148,2.105,2.510,3.340,2.260,2.211,2.666,,278.0,3.994,11.4892
280.0,2.884,2.039,2.003,2.362,3.114,2.151,2.108,2.515,3.350,2.263,2.214,2.671,,280.0,3.950,11.3928
282.0,2.891,2.042,2.005,2.366,3.122,2.153,2.111,2.520,3.359,2.266,2.218,2.677,,282.0,3.908,11.2991
284.0,2.898,2.044,2.008,2.370,3.130,2.156,2.114,2.525,3.369,2.269,2.221,2.682,,284.0,3.867,11.2077
286.0,2.905,2.046,2.010,2.374,3.138,2.158,2.117,2.529,3.378,2.271,2.224,2.687,,286.0,3.829,11.1236
288.0,2.913,2.048,2.013,2.378,3.147,2.161,2.120,2.534,3.388,2.274,2.227,2.692,,288.0,3.792,11.0458
290.0,2.920,2.051,2.015,2.382,3.155,2.163,2.122,2.539,3.397,2.277,2.230,2.698,,290.0,3.755,10.9632
292.0,2.927,2.053,2.018,2.386,3.163,2.166,2.125,2.543,3.406,2.280,2.233,2.703,,292.0,3.720,10.8879
294.0,2.934,2.055,2.021,2.391,3.171,2.168,2.128,2.548,3.416,2.283,2.237,2.708,,294.0,3.687,10.8166
296.0,2.941,2.057,2.023,2.395,3.180,2.171,2.131,2.553,3.425,2.285,2.240,2.713,,296.0,3.654,10.7477
298.0,2.948,2.059,2.026,2.399,3.188,2.173,2.134,2.557,3.435,2.288,2.243,2.719,,298.0,3.624,10.6839
300.0,2.956,2.062,2.028,2.403,3.196,2.176,2.137,2.562,3.444,2.291,2.246,2.724,,300.0,3.594,10.6235
305.0,2.973,2.067,2.034,2.413,3.217,2.182,2.144,2.574,3.467,2.298,2.254,2.737,,305.0,3.529,10.4921
310.0,2.991,2.073,2.041,2.423,3.237,2.188,2.151,2.585,3.491,2.305,2.262,2.750,,310.0,3.472,10.3862
315.0,3.009,2.078,2.047,2.433,3.258,2.194,2.158,2.597,3.515,2.312,2.270,2.763,,315.0,3.425,10.3056
320.0,3.027,2.083,2.054,2.444,3.279,2.200,2.165,2.608,3.538,2.318,2.278,2.776,,320.0,3.383,10.2411
325.0,3.045,2.089,2.060,2.454,3.299,2.206,2.172,2.620,3.562,2.325,2.286,2.789,,325.0,3.355,10.2170
330.0,3.063,2.094,2.066,2.464,3.320,2.212,2.179,2.631,3.585,2.332,2.294,2.802,,330.0,3.341,10.2337
335.0,3.081,2.099,2.073,2.474,3.341,2.218,2.187,2.643,3.609,2.338,2.302,2.815,,335.0,3.341,10.2925
340.0,3.099,2.104,2.079,2.484,3.361,2.224,2.194,2.655,3.633,2.345,2.310,2.828,,340.0,3.359,10.4093
345.0,3.116,2.110,2.085,2.494,3.382,2.230,2.201,2.666,3.656,2.352,2.317,2.841,,345.0,3.399,10.5912
350.0,3.134,2.115,2.092,2.504,3.403,2.236,2.208,2.678,3.680,2.358,2.325,2.854,,350.0,3.401,10.6583
360.0,3.170,2.125,2.105,2.525,3.444,2.247,2.222,2.701,3.727,2.371,2.341,2.880,,360.0,3.385,10.7297
370.0,3.206,2.135,2.118,2.545,3.486,2.259,2.237,2.724,3.775,2.384,2.357,2.906,,370.0,3.332,10.6822
380.0,3.242,2.145,2.130,2.565,3.527,2.270,2.251,2.747,3.823,2.397,2.374,2.932,,380.0,3.231,10.4749
390.0,3.278,2.155,2.143,2.585,3.569,2.282,2.266,2.770,3.871,2.409,2.390,2.958,,390.0,3.089,10.1268
400.0,3.314,2.165,2.157,2.605,3.611,2.293,2.281,2.793,3.919,2.422,2.406,2.984,,400.0,2.921,9.6800
420.0,3.387,2.185,2.183,2.646,3.695,2.315,2.310,2.839,4.016,2.447,2.439,3.036,,420.0,2.550,8.6354
440.0,3.460,2.204,2.210,2.687,3.780,2.337,2.340,2.885,4.113,2.471,2.472,3.089,,440.0,2.178,7.5364
450.0,3.496,2.214,2.223,2.707,3.823,2.348,2.355,2.909,4.162,2.484,2.489,3.115,,450.0,2.002,7.0013
460.0,3.533,2.223,2.237,2.727,3.866,2.359,2.371,2.932,4.212,2.496,2.506,3.142,,460.0,1.837,6.4889
480.0,3.607,2.242,2.264,2.768,3.952,2.380,2.402,2.979,4.311,2.520,2.540,3.195,,480.0,1.538,5.5465
500.0,3.682,2.261,2.292,2.810,4.040,2.401,2.433,3.026,4.412,2.544,2.575,3.248,,500.0,1.283,4.7236
520.0,3.758,2.280,2.321,2.851,4.128,2.423,2.465,3.074,4.514,2.568,2.611,3.302,,520.0,1.069,4.0167
540.0,3.834,2.299,2.350,2.893,4.217,2.444,2.498,3.122,4.617,2.591,2.647,3.357,,540.0,0.8913,3.4174
550.0,3.873,2.308,2.364,2.914,4.262,2.454,2.514,3.146,4.669,2.603,2.666,3.384,,550.0,0.8144,3.1538
560.0,3.911,2.317,2.379,2.936,4.307,2.465,2.531,3.171,4.722,2.615,2.684,3.412,,560.0,0.7442,2.9107
580.0,3.989,2.336,2.409,2.978,4.399,2.486,2.565,3.220,4.828,2.639,2.722,3.468,,580.0,0.6228,2.4845
600.0,4.068,2.355,2.440,3.022,4.491,2.507,2.599,3.269,4.935,2.662,2.761,3.524,,600.0,0.5230,2.1276
620.0,4.148,2.373,2.471,3.065,4.585,2.528,2.634,3.319,5.044,2.686,2.800,3.581,,620.0,0.4403,1.8263
640.0,4.229,2.392,2.503,3.109,4.680,2.549,2.670,3.370,5.154,2.710,2.840,3.639,,640.0,0.3719,1.5727
650.0,4.269,2.401,2.520,3.132,4.728,2.560,2.689,3.396,5.210,2.722,2.860,3.668,,650.0,0.3424,1.4619
660.0,4.311,2.411,2.536,3.154,4.777,2.571,2.707,3.421,5.266,2.734,2.881,3.697,,660.0,0.3153,1.3591
680.0,4.393,2.429,2.569,3.199,4.874,2.592,2.745,3.473,5.380,2.758,2.923,3.757,,680.0,0.2682,1.1783
700.0,4.477,2.448,2.603,3.245,4.973,2.614,2.783,3.526,5.496,2.782,2.966,3.817,,700.0,0.2290,1.0253
720.0,4.563,2.468,2.638,3.291,5.074,2.635,2.822,3.580,5.613,2.806,3.010,3.878,,720.0,0.1964,0.8961
740.0,4.649,2.487,2.674,3.338,5.176,2.657,2.863,3.634,5.733,2.831,3.055,3.939,,740.0,0.1689,0.7852
750.0,4.693,2.496,2.692,3.362,5.228,2.668,2.883,3.661,5.793,2.843,3.077,3.971,,750.0,0.1568,0.7358
760.0,4.737,2.506,2.710,3.386,5.280,2.679,2.904,3.689,5.854,2.855,3.100,4.002,,760.0,0.1457,0.6901
780.0,4.826,2.526,2.747,3.434,5.385,2.701,2.945,3.744,5.977,2.880,3.147,4.066,,780.0,0.1262,0.6090
800.0,4.916,2.545,2.785,3.483,5.492,2.724,2.988,3.801,6.103,2.905,3.195,4.130,,800.0,0.1097,0.5393
820.0,5.007,2.565,2.823,3.532,5.601,2.746,3.032,3.858,6.230,2.931,3.244,4.196,,820.0,0.0957,0.4792
840.0,5.100,2.586,2.863,3.582,5.712,2.769,3.077,3.916,6.360,2.957,3.295,4.262,,840.0,0.0837,0.4269
850.0,5.147,2.596,2.883,3.608,5.768,2.781,3.100,3.946,6.426,2.969,3.320,4.296,,850.0,0.0784,0.4036
860.0,5.195,2.606,2.903,3.633,5.824,2.792,3.123,3.975,6.492,2.983,3.346,4.330,,860.0,0.0735,0.3818
880.0,5.291,2.627,2.945,3.685,5.938,2.816,3.169,4.035,6.626,3.009,3.399,4.399,,880.0,0.0647,0.3423
900.0,5.388,2.648,2.987,3.737,6.054,2.839,3.217,4.096,6.763,3.035,3.452,4.469,,900.0,0.0571,0.3077
920.0,5.487,2.669,3.030,3.791,6.173,2.863,3.266,4.158,6.902,3.062,3.507,4.540,,920.0,0.0506,0.2777
940.0,5.588,2.690,3.074,3.845,6.293,2.888,3.316,4.221,7.044,3.090,3.564,4.612,,940.0,0.0450,0.2515
950.0,5.639,2.701,3.096,3.872,6.354,2.900,3.342,4.253,7.116,3.104,3.593,4.649,,950.0,0.0424,0.2391
960.0,5.690,2.712,3.119,3.900,6.415,2.913,3.368,4.285,7.189,3.118,3.622,4.685,,960.0,0.0400,0.2276
980.0,5.794,2.734,3.165,3.955,6.540,2.938,3.420,4.350,7.336,3.146,3.681,4.760,,980.0,0.0357,0.2069
1000.0,5.900,2.757,3.212,4.012,6.667,2.963,3.474,4.416,7.486,3.174,3.741,4.836,,1000.0,0.0320,0.1888
2000.0,14.966,4.642,7.551,8.672,17.846,5.120,8.549,9.962,21.066,5.616,9.601,11.353,,,,
3000.0,45.980,10.504,22.391,23.231,58.091,12.020,26.791,28.036,72.315,13.627,31.655,33.422,,,,
4000.0,203.535,34.989,105.763,89.391,275.281,42.116,135.116,114.560,364.537,49.959,169.407,144.186,,,,
5000.0,1574.400,205.410,1220.160,614.356,2315.150,264.402,1695.460,849.008,3304.560,332.902,2289.920,1143.080,,,,
6000.0,18004.200,3359.620,21340.700,9529.160,29413.900,4721.160,33329.500,14503.300,46087.100,6421.580,49813.000,21263.400,,,,
